name,picture,twitter,github,linkedin,website
Martinho Aragão,martinho-aragao.jpg,,martinhoaragao,martinhoaragao,http://martinhoaragao.me
Bruno Cancelinha,brunocancelinha.jpg,,9thScientist,,
Francisco Lira,franciscolira.jpg,franlira12,FranciscoLira,,
Francisco Ribeiro,Kiko_staff.jpg,,FranciscoRibeiro,,
Hugo Brandão,hugobrandao.jpg,,jhugobb,,
João Coelho,joao-coelho.jpg,joaocbonn,joao-coelho,joão-coelho,
Luís Neto,luisneto.jpg,,,,
Francisco Costa,franciscocosta.jpg,,xicon73,,
Luís Fernandes,luisfernandes.jpg,Luismf20,SkyBad20,luis-mfernandes20,
André Teixeira,andre-teixeira.jpg,,Nein,,
João Cabo,joaocabo.jpg,,,,
Rui Souto,ruisouto.jpg,,,,
Tânia Esteves,tania-esteves.jpg,,,,
João Vilaça,vilaça.jpg,,,,
José Macedo,zenuno.jpg,,zenunomacedo,,
Dinis Peixoto,dinis-peixoto.jpg,,,,
